EnsemblID1,GOID1,IntActPairs.UniprotID1,IntActPairs.UniprotID2,EnsemblID2,GOID2,EnsemblID1.tissueTypes,EnsemblID2.tissueTypes
ENSG00000091513,GO:0005615,P02787,P21817,ENSG00000196218,GO:0005886,fma:9608;fma:61830;fma:18255;fma:7203;fma:7197;fma:7209;fma:7198;fma:63934;fma:9640;fma:7210;fma:17558,fma:9604;fma:67944;fma:9462;fma:14069
ENSG00000180210,GO:0005615,P00734,P02671,ENSG00000171560,GO:0005886,fma:9604;fma:14542;fma:9601;fma:17740;fma:7202;fma:9462;fma:7203;fma:7197;fma:63934,fma:9608;fma:14543;fma:15900
ENSG00000171560,GO:0005615,P02671,P02647,ENSG00000118137,GO:0005886,fma:9608;fma:14543;fma:15900,fma:7203;fma:7197
ENSG00000118137,GO:0005615,P02647,P02671,ENSG00000171560,GO:0005886,fma:7203;fma:7197,fma:9608;fma:14543;fma:15900
ENSG00000160181,GO:0005615,Q03403,Q96PJ5,ENSG00000163518,GO:0005886,fma:7206;fma:7148,fma:9604;fma:67944;fma:61830;fma:14543;fma:9462;fma:78448;fma:7209;fma:7198;fma:9600;fma:14544;fma:14069;fma:7163;fma:7200;fma:14070;fma:9640;fma:7210;fma:9603;fma:17558
ENSG00000118137,GO:0005615,P02647,P04264,ENSG00000167768,GO:0005886,fma:7203;fma:7197,fma:17740;fma:7131;fma:59660;fma:7163;fma:19949
ENSG00000131187,GO:0005615,P00748,P07359,ENSG00000185245,GO:0005886,fma:9462;fma:7203;fma:7197;fma:9600;fma:14069;fma:7210;fma:17558,fma:9608;fma:61830;fma:7196
ENSG00000118137,GO:0005615,P02647,P05067,ENSG00000142192,GO:0005886,fma:7203;fma:7197,fma:9604;fma:14542;fma:9608;fma:9601;fma:67944;fma:61830;fma:14543;fma:7206;fma:18255;fma:7202;fma:62493;fma:78448;fma:7198;fma:63934;fma:9600;fma:14544;fma:19386;fma:7200;fma:7210;fma:17558
ENSG00000142192,GO:0005615,P05067,P02647,ENSG00000118137,GO:0005886,fma:9604;fma:14542;fma:9608;fma:9601;fma:67944;fma:61830;fma:14543;fma:7206;fma:18255;fma:7202;fma:62493;fma:78448;fma:7198;fma:63934;fma:9600;fma:14544;fma:19386;fma:7200;fma:7210;fma:17558,fma:7203;fma:7197
ENSG00000115380,GO:0005615,Q12805,P29474,ENSG00000164867,GO:0005886,fma:9601;fma:67944;fma:61830;fma:17740;fma:62493;fma:78448;fma:7197;fma:7195;fma:7209;fma:9600;fma:7163;fma:9640;fma:7196;fma:7148,fma:14543;fma:7203;fma:63934
ENSG00000157404,GO:0005615,P10721,Q63HR2,ENSG00000111077,GO:0005886,fma:9608;fma:9601;fma:67944;fma:7195;fma:7209;fma:7163,fma:9604;fma:61830;fma:14543;fma:7206;fma:7202;fma:7203;fma:7197;fma:7198;fma:7148
ENSG00000136244,GO:0005615,P05231,Q99962,ENSG00000107295,GO:0005886,fma:14542;fma:9608;fma:9601;fma:17740;fma:5034;fma:59660;fma:9597;fma:9609;fma:15900,fma:67944;fma:61830;fma:62493;fma:78448;fma:7198;fma:7210
